"cs_concentration","is_concentration","description","course_id","term","name","prereqs","number","subject"
"Software and Systems Development","None","Fundamentals and techniques of developing concurrent object-oriented applications, using a patterns-based approach. Concepts covered include: threads, synchronization and object locking, thread blocking and deadlock, safety and liveness, state-dependent action and concurrency control. Formerly SE 552.","20421","Winter","Concurrent Software Development","SE 450","552","CSC"
"Software and Systems Development","None","An introduction to advanced selected topics in databases. The topics include: intelligent and deductive databases, temporal databases, multimedia databases, spatial and geographic databases, fuzzy databases, mobile databases, data mining and data warehousing, as well as emerging issues and concepts in database design, implementation and management.","20422","Spring","Advanced Database Concepts","CSC 453","553","CSC"
"Software and Systems Development","None","Specific topics will be selected by the instructor and may vary with each quarter. Can be repeated for credit. Variable credit.","20423","Spring","Topics in Computer Science","Instructor Consent","595","CSC"
"Software and Systems Development","None","In this course and its continuation GAM 691, students will work in small teams to design and implement a computer game. The courses must be taken consecutively.","20425","Winter","Game Development Studio I","GAM 475","690","GAM"
"Software and Systems Development","None","Continuation of GAM 690.","20426","Spring","Game Development Studio II","GAM 490","691","GAM"
"Software and Systems Development","None","Overview of the user-centered design (UCD) process with an additional emphasis on user interface development. Coverage of UCD process includes effective, low-cost methods for user research, interaction design and evaluation. User interface development involves application of front-end development languages (HTML and JavaScript) and frameworks (jQery). This course is offered to students with programming experience as an alternative to IT 411 and HCI 440. Students may not receive credit for this course and HCI 440.","20427","Fall","Introduction to User-Centered Development","None","441","HCI"
"Software and Systems Development","None","A study of the tools, techniques, and processes used in continuous delivery and DevOps. Students will learn to transform an organization that uses traditional software release methods into one that embraces continuous delivery and deployment. Topics will include: the economics of DevOps and continuous delivery; the role of virtualization, cloud technologies, and containers; automated builds and testing; value stream maps; the essentials of configuration management; effective use of source code control branches and feature flags to manage multiple lines of development; organizational factors affecting the success of continuous delivery and DevOps adoption including: culture, team organization, collaboration, and software development practices. ","20428","WInter","Continuous Delivery and Devops","None","441","SE"
"Software and Systems Development","None","This course focuses on applying object-oriented techniques in the design, development, and integration of server-side enterprise applications using technologies such as servlets, Java Server Pages, and JDBC. Topics include web applications, multi-tier architecture, model-view-controller architecture, database connectivity, and security.","20429","Spring","Object-Oriented Enterprise Computing","None","452","SE"
"Software and Systems Development","None","This course focuses on the fundamentals, principles, tools, and techniques in agile software development. Students will gain hands-on experiences in agile software development through projects dealing with various aspects of agile development, including planning, construction, testing, and integration. Students will be able to effectively participate in and manage agile software development as a result of their successfully completing this course.","20430","Winter","Agile Software Development","SE 450","459","SE"
"Software and Systems Development","None","Students in this course will learn architectural patterns for integrating security into software such as web applications. Topics include: an overview of software security; integration of authentication, access control, and auditing into software; programming with symmetric-key and asymmetric-key cryptography, including key distribution and key management, use of certificates, and SSL/TLS; security mechanisms in modern runtime environments, e.g., code signing, code verification, access control, and security policies. Students will get hands-on experience designing and implementing secure software. ","20431","Fall","Software Security Architecture","CSC 435 and SE 450","525","SE"
"Software and Systems Development","None","Students in this course will learn how to conduct software security assessment to identify software vulnerabilities in software such as web applications and operating system services. Topics include: common software vulnerabilities and attack vectors; malicious payloads, including shellcode structure; and application review techniques, including fuzzing and code auditing. Students will get hands-on experience identifying vulnerabilities in software.","20432","Fall","Software Security Assessment","CSC 435","526","SE"
"Software and Systems Development","None","This course will focus on object-oriented component architectures for enterprise applications. Topics include: Enterprise Java Beans (EJB), Java Naming and Directory Interfaces (JNDI), Java Mail and Messaging Services. ","20433","Fall","Enterprise Component Architecture","SE 450 or SE 452","554","SE"
"Software and Systems Development","None","Document and data interchange among different applications is an extremely important aspect of software application development. This course will focus on emerging technologies associated with the Extensible Markup Language (XML), such as the Document Object Model (DOM), the Simple API for XML (SAX), the XML Stylesheet Language (XSL) and Transformation Language (XSLT), and XML Schema. Applications of these technologies will be discussed in conjunction with tools and techniques for parsing, transforming, and manipulating documents. ","20434","Winter","Structured Document Interchange and Processing","SE 450","560","SE"
"Software and Systems Development","None","Students will work in small teams to develop realistic software systems in a master-apprentice environment. The instructor will serve as a master/mentor/project leader. Students will apply knowledge and skills they have learned in previous course in solving real world problems. ","20435","Winter","Software Engineering Studio (Capstone)","SE 450 or SE 456","491","SE"
"Software and Systems Development","None","This is the continuation of SE 491. SE 491 and 591 must be taken as a sequence in two consecutive quarters.","20436","Spring","Software Engineering Studio II (Capstone)","SE 491","591","SE"
"Software and Systems Development","None","This course provides a comprehensive overview of network-based storage technology and information storage infrastructure. Major topics include the storage architectures, service features, and benefits of Intelligent Storage Systems. Networked storage technologies include fiber channel (FC), based Storage Area Network (SAN), Network Attached Storage (NAS), and IP-SAN. Advanced storage technologies on Content Addressed Storage (CAS), information security, and storage virtualization are also discussed.","20437","Winter","Information Storage and Management","None","478","TDC"
"Theory","None","This course presents fundamental numerical algorithms for solving problems in scientific computing and computational finance. Areas covered include: error analysis, computer arithmetic, linear algebra, optimization problems, numerical integration (solvers), ordinary differential equations (ODE). The emphasis of the course is on the design of the algorithms, and their analysis. Algorithms will be implemented using mathematical software.","20440","Winter","Scientific Computing","None","431","CSC"
"Theory","None","Introduction to the methods of cryptography and cryptanalysis. Topics include classical cryptography (codes, monoalphabetic and polyalphabetic substitution ciphers, transposition ciphers), modern block ciphers (such as DES, AES), and public key cryptography (such as RSA). Optional topics include zero-knowledge protocols, information theory, coding theory, error-correcting codes, steganography, stream ciphers, hashing algorithms, quantum cryptography, elliptic curve cryptography, and history.","20441","Fall","Cryptology","None","440","CSC"
"Theory","None","An introduction to the most important abstract models of computation and their applications: finite state machines and pushdown automata. Explores the relationship between regular expressions and formal expressions and automata.","20442","Fall","Automata Theory and Formal Grammars","None","444","CSC"
"Theory","None","Advanced topics in the mathematical foundations of computation. Topics may include random access and Turing machines, recursive functions, algorithms, computability and computational complexity, intractable problems, NP-complete problems.","20443","Winter","Theory of Computation","CSC 444 or CSC 421","489","CSC"
"Theory","None","Development, implementation, and applications of parallel algorithms. Models of parallel computation. Parallel sorting, searching and graph algorithms, as well as other parallel algorithms, will be studied and implemented on both simulated and actual parallel machines. ","20444","Spring","Parallel Algorithms","CSC 421","503","CSC"
"Theory","None","A course about the use of random numbers for numerical computation with particular emphasis on implementation issues and applications in science and finance. Covered topics include: pseudo random number generators, the inversion method, the accept-reject method, discrete event simulations, multi-dimensional integration, the Metropolis and the Bootstrap algorithms.","20445","Winter","Monte Carlo Algorithms","CSC 423","521","CSC"
"Theory","None","This course defines and introduces the concepts and techniques needed to formulate and model optimization problems. A set of fundamental problems in combinatorial optimization will be covered together with their applications. The emphasis will be on the design and analysis of algorithms for such problems. The computational complexity of this set of problems (easy/hard to solve/approximate) will be discussed, and techniques for coping with intractable problems will be introduced. ","20446","Fall","Combinatorial Optimization","CSC 421","525","CSC"
"Theory","None","An introduction to the field of Bioinformatics, which is computational modeling of biological and biochemical processes. Some programming in Java will be involved. Little biological knowledge will be assumed: any required will be taught in the course. Topics will include genomics, biological databases, sequence alignment (longest common subsequence), phylogenetic trees, and protein folding.","20447","Spring","Introduction to Bioinformatics","CSC 421 and SE 450","531","CSC"
"Theory","None","Methods of formal semantics. Lambda-calculus. Lattices and domains. Reflexive domains. Formal semantics of the lambda-calculus. Languages with state. Interpretation functions. Expressions and environments. Command and stores. Control structures and continuations. ","20448","Winter","Formal Semantics of Programming Languages","CSC 447","535","CSC"
"Theory","None","A project-based course on advanced topics related to programming languages and programming environments. The course does not have any formal exams or homework assignments, but participants are expected to read papers on current research, actively participate in discussions, and complete a significant course project.","20449","Fall","Advnced Topics in Program Languages","Instructor Consent","547","CSC"
"Theory","None","This course provides an overview of foundational techniques in the specification and verification of computer systems in the presence of malicious attackers. Topics may include: formal models of interaction, attacker models, robust safety properties such as confidentiality and authenticity, information flow properties such as noninterference, and tools such as model checkers, type checkers and theorem provers. ","20450","Winter","Foundations of Computer Security","CSC 439","557","CSC"
"Theory","None","This course covers issues in the design and specification of object-oriented programming languages. Sample topics include the use of patterns in program representation, static and dynamic semantics, subject reduction, sub-typing, inheritance, polymorphism, genericity and concurrency. Formerly SE 580.","20451","Winter","Design of Object-Oriented Languages","SE 450","580","CSC"
"Theory","None","Specific topics will be selected by the instructor and may vary with each quarter. Can be repeated for credit. Variable credit.","20452","Spring","Topics in Algorithms","Instructor Consent","591","CSC"
"Theory","None","Techniques, methods and tools for software inspection and testing. Theory and applications of formal verification of programs. Techniques and tools for automated analysis of programs.","20453","Spring","Software Validation and Verification","SE 450","533","SE"
"Data Science","CORE Business Intelligence","Multiple regression and correlation, residual analysis, analysis of variance, and robustness. These topics will be studied from a data analytic perspective, supported by an investigation of available statistical software. ","20454","Winter","Data Analysis and Regression","None","423","CSC"
"Data Science","None","The course is a prerequisite for more advanced Visual Computing (VC) courses and the students will be challenged to implement VC algorithms for real world applications. The topics covered in the course include: components of an image processing system and its applications, elements of visual perception, sampling and quantization, image enhancement by histogram equalization, color spaces and transformations, introduction to segmentation (Edge detection), and morphological image processing.","20456","Fall","Introduction to Image Processing","Instructor Consent","481","CSC"
"Data Science","None","Fundamentals of computational image analysis will be explored in terms of its two most important components, image information extraction and modeling of image patterns. These components will be studied in the context of image representation, segmentation, classification, retrieval and recognition. The course will be useful for students interested in image analysis related to areas such as image databases, multimedia management, animation, GIS, computer graphics, medical imaging, remote sensing and robotics. Specific topics include, but are not limited to segmentation, multi-scale representation, shape analysis, texture analysis, Fourier analysis, wavelets, Gabor and fractal analysis, template matching, and object recognition.","20457","Winter","Applied Image Analysis","CSC 481","482","CSC"
"Data Science","Business Intelligence","Examination of the design, implementation, and evaluation of information retrieval systems. The focus is on the underlying retrieval models, algorithms, and system implementations. Also examined is how an effective information search and retrieval is interrelated with the organization and description of information to be retrieved. Topics include: automatic indexing; thesaurus generation; Boolean, vector-space, and probabilistic models; clustering and classification; information filtering; distributed IR on the WWW; intelligent information agents; IR system evaluation; information visualization; and natural language processing in IR. Throughout the course, current literature from the viewpoints of both research and practical retrieval technologies both on and off the World Wide Web will be examined.","20458","Fall","Intelligent Information Retrieval","None","575","CSC"
"Data Science","None","Specific topics will be selected by the instructor and may vary with each quarter. Can be repeated for credit. Variable credit.","20460","Fall","Topics in Artificial Intelligence","Instructor Consent","594","CSC"
"Data Science","None","Specific topics will be selected by the instructor and may vary with each quarter. Can be repeated for credit. Variable credit.","20461","Fall","Topics in Data Analysis","Instructor Consent","598","CSC"
"Database Systems","CORE Database Administration","Programming in a large-scale relational database environment using procedural languages. Topics covered in the course include: procedural extension of query languages, runtime error handling, subprograms (procedures and functions), packages, database triggers, dynamic query language. Optional topics include transaction management, reliability, and security.","20462","Winter","Database Programming","CSC 453 or CSC 451 or CSC 455","452","CSC"
"Database Systems","CORE Database Administration","This course is designed to give students a comprehensive foundation in database administration and management. The course provides a conceptual understanding of the database architecture and how its components work and interact with one another. Topics covered in this course include: database architecture, capacity planning, installation and maintenance, network configuration, security management, utilities and tools, industry standards and guidelines, database management techniques and practices.","20463","Winter","Database Administration and Management","CSC 453 or CSC 451 or CSC 455","454","CSC"
"Database Systems","None","This course considers how spatial databases work within a GIS, how data is structured, stored, indexed, retrieved, and displayed. Other topics may include fuzzy spatial databases, temporal spatial databases, and multiple criteria spatial decision making. The class will consist of hands-on work with commercial products, as well as investigating the state of-the art research in the field.","20464","Spring","Spatial Databases and Geographic Information Systems","CSC 453 or CSC 455","543","CSC"
"Database Systems","CORE Database Administration","In this class, we will discuss concepts, technologies, guiding principles, processes and best practices in managing database environment to meet high availability, scalability, and compliance needs. Organizations with business critical applications must reduce their risk of downtime, manage database environment efficiently and ensure data meets compliance requirements effectively. IT now has additional responsibilities to secure and manage information in alignment with legal, records management and regulations. This class explores methods and techniques to achieve the availability needs and also focuses on how to protect the database against disasters by maintaining multiple copies of the databases in separate locations, synchronized in real-time. Students learn to design and manage key business resumption functions including disaster recovery plans and business continuity plans. Data governance challenges will be discussed along with solutions including data life cycle management, preservation, retention, and disposition. ","20465","Spring","Advanced Database Management","CSC 453 or CSC 454","554","CSC"
"Database Systems","None","This is an advanced database course that covers issues in DBMS implementation. Topics covered in this course include: physical data organizations, indexing and hashing, query processing and optimization, database recovery techniques, transaction management, concurrency control, and security.","20466","Spring","Database System Implementation","CSC 453","549","CSC"
"Database Systems","None","Distributed database architecture, distributed database design, distributed query processing, query decomposition and optimization of distributed queries, distributed transaction management and concurrency control, distributed DBMS reliability, distributed database operating systems. Distributed multidatabase systems. Client/Server database systems.","20467","Winter","Distributed Database Systems","CSC 453 and CSC 435","551","CSC"
"Database Systems","None","An introduction to advanced selected topics in databases. The topics include: intelligent and deductive databases, temporal databases, multimedia databases, spatial and geographic databases, fuzzy databases, mobile databases, data mining and data warehousing, as well as emerging issues and concepts in database design, implementation and management.","20468","Fall","Advanced Database Concepts","CSC 453","553","CSC"
"Database Systems","None","Examination of the design, implementation, and evaluation of information retrieval systems. The focus is on the underlying retrieval models, algorithms, and system implementations. Also examined is how an effective information search and retrieval is interrelated with the organization and description of information to be retrieved. Topics include: automatic indexing; thesaurus generation; Boolean, vector-space, and probabilistic models; clustering and classification; information filtering; distributed IR on the WWW; intelligent information agents; IR system evaluation; information visualization; and natural language processing in IR. Throughout the course, current literature from the viewpoints of both research and practical retrieval technologies both on and off the World Wide Web will be examined.","20469","Fall","Intelligent Information Retrieval","None","575","CSC"
"Database Systems","None","Specific topics will be selected by the instructor and may vary with each quarter. Can be repeated for credit. Variable credit.","20470","Winter","Topics in Databse","Instructor Consent","589","CSC"
"Artificial Intelligence","None","A study of the development of expert systems. Students will use commercial packages to develop standalone and embedded expert systems. Topics will include rule-based systems, decision trees, forward and backward chaining, inference, reasoning with uncertainty, and intelligent agents.","20471","Fall","Expert Systems","None","457","CSC"
"Artificial Intelligence","None","Concepts of symbolic programming as embodied in the language LISP. Basic data and control structures of LISP: symbolic expressions, the interpreter, functions, recursion, iteration. Techniques for prototyping and building conceptually advanced systems in an environment that encourages procedural and data abstraction. Advanced topics may include Prolog, intelligent tutoring systems, intelligent agents, and natural language processing. Assignments will focus on basic AI techniques, but the class is intended for anyone who will need to rapidly develop large complex systems.","20472","Winter","Symbolic Programming","None","458","CSC"
"Artificial Intelligence","None","An in-depth survey of important concepts, problems, and techniques in artificial intelligence, including search, knowledge representation, logical reasoning, and reasoning with uncertainty. A particular focus and a unifying theme of the course will be the concept of intelligent agents. No prior knowledge of AI is required. The course is particularly suitable for graduate and advanced undergraduate students who want to gain the technical background necessary to build intelligent systems, or who want to prepare for more advanced work in AI. The concepts and techniques learned in this course will be directly applicable to many other areas of computer science including software design, distributed systems, databases, and information management and retrieval.","20473","Spring","Artificial Intelligence I","None","480","CSC"
"Artificial Intelligence","None","The course is a prerequisite for more advanced Visual Computing (VC) courses and the students will be challenged to implement VC algorithms for real world applications. The topics covered in the course include: components of an image processing system and its applications, elements of visual perception, sampling and quantization, image enhancement by histogram equalization, color spaces and transformations, introduction to segmentation (Edge detection), and morphological image processing.","20474","Fall","Introduction to Image Processing","Instructor Consent","481","CSC"
"Artificial Intelligence","None","Fundamentals of computational image analysis will be explored in terms of its two most important components, image information extraction and modeling of image patterns. These components will be studied in the context of image representation, segmentation, classification, retrieval and recognition. The course will be useful for students interested in image analysis related to areas such as image databases, multimedia management, animation, GIS, computer graphics, medical imaging, remote sensing and robotics. Specific topics include, but are not limited to segmentation, multi-scale representation, shape analysis, texture analysis, Fourier analysis, wavelets, Gabor and fractal analysis, template matching, and object recognition.","20475","Winter","Applied Image Analysis","CSC 481","482","CSC"
"Artificial Intelligence","None","Computer Vision techniques for analysis of patterns in visual images and videos of 2D and 3D scenes will be explored with the goal of interpreting, understanding, and reconstructing 3D scenes. Topics to be covered include image formation and representation, 2D and 3D feature extraction, camera calibration, reconstruction of depth based on stereo, shading, focus, texture, and geometry, object detection and tracking, motion analysis, analytical performance characterization, and 3D recognition of objects and scenes using statistical and model-based techniques. The course will be useful for students interested in computer vision related areas such as robotics, remote sensing, and medical imaging. A significant part of the course will be dedicated to the discussion of articles recently published in the literature. ","20476","Winter","Computer Vision","CSC 481","528","CSC"
"Artificial Intelligence","None","Vision Systems will cover the geometry of computer vision as well as a survey of working vision systems to include 1) Content-based Image Retrieval Systems; 2) Object Detection and Tracking Systems; 3) Medical Visual Systems; 4) Robotic Navigation Systems.","20477","Spring","Vision Systems","CSC 528","538","CSC"
"Artificial Intelligence","None","Examination of the design, implementation, and evaluation of information retrieval systems. The focus is on the underlying retrieval models, algorithms, and system implementations. Also examined is how an effective information search and retrieval is interrelated with the organization and description of information to be retrieved. Topics include: automatic indexing; thesaurus generation; Boolean, vector-space, and probabilistic models; clustering and classification; information filtering; distributed IR on the WWW; intelligent information agents; IR system evaluation; information visualization; and natural language processing in IR. Throughout the course, current literature from the viewpoints of both research and practical retrieval technologies both on and off the World Wide Web will be examined. ","20478","Fall","Intelligent Information Retrieval","None","575","CSC"
"Artificial Intelligence","None","The course provides an in-depth coverage of advanced topics in Artificial Intelligence, including planning, reasoning with uncertainty, decision theoretic agents, constraint satisfaction and optimization problems, as well as selected topics of interest in knowledge representation, machine learning, and natural language processing. These topics are discussed in the context of design and implementation of real-world intelligent agents. This course is suitable for advanced students with interest in further study in artificial intelligence and related topics, as well as those interested in the application of AI techniques in building systems with intelligent components. ","20479","Fall","Artificial Intelligence II","CSC 480","583","CSC"
"Artificial Intelligence","None","A study of the relationships between our knowledge of human and computer intelligence. Levels of analysis of intelligent system, examples of cognitive models, and exposure to current publications, with an emphasis on those related to human computer interaction. Students will participate in the design and testing of models of human intelligence, both experimentally and using computer models. ","20480","Spring","Cognitive Science","None","587","CSC"
"Artificial Intelligence","None","This is an independent study course. May be repeated for credit.","20481","Spring","Topics in Computer Vision and Pattern Recognition","CSC 482 or CSC 528","592","CSC"
"Artificial Intelligence","None","Specific topics will be selected by the instructor and may vary with each quarter. Can be repeated for credit. Variable credit.","20482","Fall","Topics in Artificial Intelligence","Instructor Consent","594","CSC"
"Artificial Intelligence","Business Intelligence","This course will focus on applications of Geographic Information Systems (GIS) to community studies and community development. As an amalgam of information technologies (e.g. database management, Web 2.0) and earth measurement technologies (e.g. global positioning systems, remote sensing), GIS is rapidly entering the realm of community development. The course will explain how GIS works; enable students to learn techniques including mapping, spatial analysis, and data management; and provide students with the opportunity to apply GIS to community development.","20483","Winter","Geographic Information Systems (Gis) for Community Development","None","441","GEO"
"Artificial Intelligence","None","This course will examine how GIS has been used to monitor, and evaluate efforts advancing sustainability in urban areas. Students will learn geospatial techniques in support of sustainable practices, including promoting energy efficiency, managing water resources, promoting sustainable options of transportation, improving access to local healthy foods, and responding to climate change. This is accomplished through hands-on lab activities and a case study conducted in collaboration with a non-profit organization engaged in promotion of sustainable practices in Chicago. ","20484","Spring","Geographic Information Systems (Gis) for Sustainable Urban Development","GEO 441","442","GEO"
"Software Engineering","None","Object-oriented modeling techniques for analysis and design. Provides the tools and techniques needed to solve complex, real-world software engineering problems in an object-oriented manner, using the most effective elements of the Unified Process. The course covers the essential concepts and notation of the Unified Modeling Language (UML), the standard notation for object-oriented analysis and design. Team project. ","20485","Fall","Object Oriented Modeling","None","430","SE"
"Software Engineering","None","This course is designed for the software engineering professional to gain a greater understanding of the key ingredients in creating and/or managing a successful testing program to meet project needs. Topics covered include test lifecycle planning, test design & coverage analysis, complexity, levels of testing such as unit, integration, system, performance and stress testing. Best practice strategies in software testing such as verification & validation, early lifecycle testing, risk based testing and automation will also be examined including exposure to test automation methods and tools.","20486","Winter","Software Testing and Quality Assurance","None","433","SE"
"Software Engineering","None","A study of the tools, techniques, and processes used in continuous delivery and DevOps. Students will learn to transform an organization that uses traditional software release methods into one that embraces continuous delivery and deployment. Topics will include: the economics of DevOps and continuous delivery; the role of virtualization, cloud technologies, and containers; automated builds and testing; value stream maps; the essentials of configuration management; effective use of source code control branches and feature flags to manage multiple lines of development; organizational factors affecting the success of continuous delivery and DevOps adoption including: culture, team organization, collaboration, and software development practices.","20487","Spring","Continuous Delivery and Devops","None","441","SE"
"Software Engineering","None","This course focuses on applying object-oriented techniques in the design, development, and integration of server-side enterprise applications using technologies such as servlets, Java Server Pages, and JDBC. Topics include web applications, multi-tier architecture, model-view-controller architecture, database connectivity, and security.","20488","Fall","Object-Oriented Enterprise Computing","None","452","SE"
"Software Engineering","None","This course will focus on software architectures, frameworks, and techniques for developing web-based thin client applications as well as rich desktop client applications. Topics will include discussion on design and architectural patterns, such as model-view-controller pattern; survey of widely used development frameworks for building client applications, such as Struts, Java Server Face (JSF), Swing, and SWT, etc.; discussion of widely used techniques such as AJAX; evaluation of the strengths and weaknesses of these technologies for making technology decisions. Students will gain hands-on experiences in developing applications that utilizes these frameworks and techniques.","20489","Fall","Architecture and Frameworks for Developing Client Applications","SE 452","453","SE"
"Software Engineering","None","This course discusses the principles, styles, and patterns of real-time software architecture. Trade-offs and ramifications of software architecture with respect to performance, maintainability, and reusability, will be explored. The course will also investigate the design and implementation of real-time behavior and constraints for Common Design Patterns such as Observer, Visitor, and Strategy. Finally, the course will demonstrate how creation of real-time Data Driven environment allows the run-time object data to control the behavior and flow of an application. These topics will be discussed in the context of best practices in software engineering such as iterative development, testing, and continuous integration.","20490","Fall","Architecture of Real-Time Systems","None","456","SE"
"Software Engineering","None","An in-depth study of service oriented architecture (SOA) from the business, architectural, and technology perspectives. The business perspective will explain the imperatives behind SOA and discuss the significance of SOA in industry. The architectural perspective will discuss the different architectural models of software development and contrast these with SOA. The technology perspective will provide students with the opportunity to gain the required hands-on experience to analyze, design, implement and deploy SOA solutions that will meet both functional and non-functional requirements. Major topics include software architectures in practice, SOA development lifecycle, Enterprise Service Bus, SOA analysis and design methods, Web Services, and governance.","20491","Winter","Service-Oriented Architecture","SE 450 or CSC 435","457","SE"
